epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,436.05,0.4236,0.27464,0.90533,0.98906,1,0.98747,0.9802,0.21542,0.15566,0.78481,0.000614,0.000614,0.000614
107,440.297,0.41948,0.27568,0.89872,0.98911,1,0.99428,0.9719,0.30037,0.16993,0.79815,0.0006008,0.0006008,0.0006008
108,444.214,0.40066,0.26833,0.90158,0.98907,1,0.99304,0.98331,0.23541,0.16474,0.78846,0.0005876,0.0005876,0.0005876
109,448.495,0.41231,0.27575,0.8878,0.98892,1,0.99077,0.98278,0.23535,0.16327,0.78816,0.0005744,0.0005744,0.0005744
110,452.762,0.41901,0.26993,0.89385,0.9888,1,0.99345,0.95703,0.3243,0.1775,0.80359,0.0005612,0.0005612,0.0005612
111,456.799,0.42232,0.26375,0.89921,0.98903,1,0.99057,0.95958,0.2948,0.16647,0.79474,0.000548,0.000548,0.000548
112,461.082,0.41369,0.27073,0.90336,0.98805,1,0.99098,0.98101,0.22306,0.15285,0.78439,0.0005348,0.0005348,0.0005348
113,465.193,0.42485,0.27471,0.90196,0.9889,1,0.99119,0.97701,0.24427,0.15998,0.78799,0.0005216,0.0005216,0.0005216
114,469.227,0.39995,0.25838,0.89276,0.989,1,0.99191,0.97872,0.22555,0.15651,0.78759,0.0005084,0.0005084,0.0005084
115,473.194,0.40508,0.25956,0.88972,0.98824,1,0.99335,0.96378,0.31231,0.16687,0.80018,0.0004952,0.0004952,0.0004952
116,477.247,0.41859,0.27238,0.9086,0.989,1,0.99335,0.98312,0.23383,0.15238,0.78598,0.000482,0.000482,0.000482
117,481.447,0.40918,0.26059,0.90432,0.98893,1,0.99211,0.98741,0.19571,0.1421,0.78022,0.0004688,0.0004688,0.0004688
118,485.867,0.38738,0.25877,0.8813,0.98911,1,0.99314,0.98202,0.20763,0.14257,0.78154,0.0004556,0.0004556,0.0004556
119,489.904,0.40183,0.2616,0.88458,0.98912,1,0.98799,0.9749,0.19982,0.13948,0.78304,0.0004424,0.0004424,0.0004424
120,493.89,0.38939,0.25151,0.88285,0.98908,1,0.99345,0.98243,0.19336,0.14094,0.78259,0.0004292,0.0004292,0.0004292
121,497.858,0.4023,0.2551,0.89075,0.98909,1,0.99356,0.98322,0.23415,0.15133,0.78771,0.000416,0.000416,0.000416
122,502.009,0.38462,0.25105,0.88169,0.98903,1,0.99294,0.98175,0.2022,0.14111,0.783,0.0004028,0.0004028,0.0004028
123,506.129,0.39993,0.25354,0.88736,0.98909,1,0.99345,0.98297,0.21053,0.13846,0.78369,0.0003896,0.0003896,0.0003896
124,510.226,0.39719,0.25179,0.89401,0.98914,1,0.99325,0.98532,0.18331,0.13826,0.77937,0.0003764,0.0003764,0.0003764
125,514.408,0.39975,0.2487,0.8981,0.98914,1,0.99387,0.98013,0.24756,0.1474,0.788,0.0003632,0.0003632,0.0003632
126,518.566,0.39759,0.24708,0.89163,0.98913,1,0.99294,0.97626,0.24953,0.15036,0.78823,0.00035,0.00035,0.00035
127,522.719,0.37486,0.24348,0.88497,0.98907,1,0.98881,0.97535,0.20216,0.13481,0.78287,0.0003368,0.0003368,0.0003368
128,526.678,0.37863,0.24067,0.87911,0.98907,1,0.99325,0.98408,0.18835,0.13468,0.78008,0.0003236,0.0003236,0.0003236
129,530.781,0.39153,0.25354,0.88181,0.98907,1,0.9917,0.98209,0.1815,0.13949,0.77845,0.0003104,0.0003104,0.0003104
130,534.886,0.37526,0.24175,0.88654,0.98904,1,0.99201,0.98504,0.19123,0.13732,0.7808,0.0002972,0.0002972,0.0002972
131,538.921,0.36662,0.23764,0.8806,0.9891,1,0.99284,0.98647,0.1896,0.13309,0.78043,0.000284,0.000284,0.000284
132,543.05,0.38543,0.24038,0.89316,0.98911,1,0.99273,0.98319,0.18429,0.1339,0.77861,0.0002708,0.0002708,0.0002708
133,546.995,0.37775,0.24529,0.88888,0.98911,1,0.99304,0.98324,0.18563,0.13135,0.77964,0.0002576,0.0002576,0.0002576
134,551.141,0.37469,0.23382,0.88463,0.98911,1,0.99284,0.98565,0.18493,0.13421,0.78053,0.0002444,0.0002444,0.0002444
135,555.217,0.37974,0.24404,0.89864,0.98913,1,0.99345,0.98591,0.20227,0.13878,0.78277,0.0002312,0.0002312,0.0002312
136,559.599,0.37927,0.23818,0.88805,0.98911,1,0.99129,0.98348,0.18401,0.13384,0.77903,0.000218,0.000218,0.000218
137,563.875,0.36865,0.24169,0.87771,0.98906,1,0.99026,0.98092,0.18764,0.13211,0.77888,0.0002048,0.0002048,0.0002048
138,567.845,0.38148,0.24025,0.88921,0.98907,1,0.99088,0.9826,0.18713,0.1305,0.77938,0.0001916,0.0001916,0.0001916
139,572.001,0.37323,0.23704,0.89156,0.98907,1,0.99098,0.98269,0.1877,0.13263,0.77986,0.0001784,0.0001784,0.0001784
140,575.975,0.36931,0.23936,0.89205,0.98911,1,0.99222,0.97953,0.20942,0.13233,0.78325,0.0001652,0.0001652,0.0001652
141,598.37,0.27821,0.18452,0.80751,0.98907,1,0.99273,0.98272,0.18817,0.13441,0.7806,0.000152,0.000152,0.000152
142,602.496,0.26942,0.16921,0.80873,0.98908,1,0.99397,0.98447,0.19582,0.13528,0.78028,0.0001388,0.0001388,0.0001388
143,606.43,0.27118,0.1681,0.8077,0.98899,1,0.99284,0.98314,0.19873,0.1306,0.7811,0.0001256,0.0001256,0.0001256
144,610.53,0.28639,0.16883,0.80146,0.98881,1,0.99273,0.98318,0.17501,0.13372,0.77901,0.0001124,0.0001124,0.0001124
145,614.823,0.26719,0.16535,0.8092,0.9888,1,0.99366,0.98552,0.19002,0.12782,0.78063,9.92e-05,9.92e-05,9.92e-05
146,618.658,0.26255,0.15974,0.80681,0.9889,1,0.99407,0.98672,0.18673,0.13169,0.78068,8.6e-05,8.6e-05,8.6e-05
147,622.612,0.26219,0.16045,0.81125,0.98891,1,0.99407,0.98541,0.21311,0.13467,0.78379,7.28e-05,7.28e-05,7.28e-05
