epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,17783.1,0.54384,0.40812,0.91864,0.99154,0.98043,0.98952,0.94736,0.23959,0.29948,0.58989,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,18077.6,0.54371,0.40645,0.91795,0.991,0.98154,0.98983,0.94817,0.2385,0.28899,0.58924,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,18371,0.54068,0.40421,0.91726,0.99116,0.98105,0.99005,0.94951,0.23728,0.2783,0.58866,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,18663.8,0.52949,0.39293,0.91164,0.991,0.98161,0.99034,0.95054,0.23639,0.27053,0.58817,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,18957.3,0.52563,0.39503,0.9129,0.991,0.98233,0.9906,0.9509,0.23552,0.26265,0.58767,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,19250,0.52406,0.38834,0.91067,0.99045,0.98258,0.9908,0.95101,0.2347,0.25379,0.58713,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,19543.2,0.52131,0.38538,0.91028,0.99004,0.98272,0.99094,0.95036,0.23385,0.24442,0.58661,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,19836.7,0.52068,0.38958,0.91046,0.99032,0.98272,0.9912,0.95077,0.23317,0.23458,0.58628,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,20130.6,0.51583,0.37849,0.90767,0.99105,0.98272,0.99145,0.95132,0.23239,0.22629,0.58595,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,20424.5,0.51728,0.3822,0.91076,0.99046,0.98427,0.99168,0.95162,0.23131,0.22005,0.58536,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,20718.5,0.51429,0.37887,0.90932,0.99256,0.98384,0.99198,0.95165,0.23047,0.21293,0.5851,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,21037.9,0.35139,0.21885,0.80793,0.99269,0.98415,0.99223,0.95267,0.22959,0.2062,0.58458,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,21323.7,0.34364,0.21064,0.80679,0.99269,0.98444,0.99247,0.95305,0.2282,0.19999,0.58397,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,21609.6,0.3386,0.20703,0.80392,0.99214,0.98457,0.99266,0.95366,0.22712,0.19272,0.58348,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,21895.7,0.33117,0.20197,0.80087,0.9954,0.98161,0.99283,0.95419,0.22596,0.18635,0.58297,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,22182.2,0.32386,0.19625,0.80016,0.99542,0.98161,0.99302,0.95444,0.22479,0.1807,0.58239,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,22468.7,0.31971,0.19239,0.79918,0.99492,0.98206,0.99322,0.9553,0.22356,0.1757,0.58183,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,22754.6,0.31532,0.18976,0.79654,0.99492,0.98322,0.99341,0.95592,0.22241,0.17228,0.58136,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,23040.3,0.30962,0.18436,0.79628,0.99493,0.98353,0.99359,0.95636,0.22144,0.16965,0.58085,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,23327.3,0.30655,0.18189,0.79452,0.99492,0.98439,0.99368,0.95721,0.22022,0.16747,0.58026,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,23613.6,0.30023,0.17688,0.79355,0.99552,0.98439,0.99372,0.95827,0.21921,0.16479,0.57976,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
